course_id,course_name,instructor,time_room,maximum_number,number_of_assigned,number_of_selected,student_list_count,number_of_assigned_check_status,maximum_number_source_status,number_of_assigned_source_status,number_of_selected_source_status,data_warning,popularity_ratio,over_capacity,priority_1_count,cutoff_priority,cutoff_priority_count,seats_before_cutoff,seats_remaining_at_cutoff,cutoff_accept_rate,recommended_max_priority,no_chance_after_priority,analysis_status,recommendation
9040,Theory and Skills of Creativity 創造力之理論與技巧,"Huang, Chin-Chun / 黃金俊",Thursday 9 (17:00 - 17:50) | General Education Building 122 Thursday A (18:00 - 18:50) | General Education Building 122,50,782,0,782,match,official,official,official,,15.64,732,379,1.0,379,0,50,0.132,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9041,Theory and Practice of Creativity and Multiple Intelligence 創造力與多元智慧的理念與實踐,"Huang, Chin-Chun / 黃金俊",Thursday B (19:00 - 19:50) | General Education Building 122 Thursday C (20:00 - 20:50) | General Education Building 122,50,682,0,682,match,official,official,official,,13.64,632,272,1.0,272,0,50,0.184,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9009,The psychology of memory in everyday life 日常生活中的記憶心理學,"Cheng, Shih-Kuen / 鄭仕坤",Thursday 3 (10:00 - 10:50) | Liberal Arts Building #1 101 Thursday 4 (11:00 - 11:50) | Liberal Arts Building #1 101,50,668,0,668,match,official,official,official,,13.36,618,329,1.0,329,0,50,0.152,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9034,Life Education 生命教育,"Cheng, Chin-Fa / 程進發",Wednesday 3 (10:00 - 10:50) | Liberal Arts Building #1 113 Wednesday 4 (11:00 - 11:50) | Liberal Arts Building #1 113,50,573,0,573,match,official,official,official,,11.46,523,254,1.0,254,0,50,0.197,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9005,SQ(Spiritual Quotient)—Beyond IQ and EQ 精神能力(SQ)—IQ與EQ之外的生命資本,"Cheng, Chin-Fa / 程進發",Wednesday 1 (08:00 - 08:50) | Liberal Arts Building #1 113 Wednesday 2 (09:00 - 09:50) | Liberal Arts Building #1 113,50,571,0,571,match,official,official,official,,11.42,521,281,1.0,281,0,50,0.178,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9036,Mass Communication and Social Life 大眾傳播與生活,"Lu, Yu-Nu / 呂郁女",Thursday 7 (15:00 - 15:50) | General Education Building 214 Thursday 8 (16:00 - 16:50) | General Education Building 214,120,1307,0,1307,match,official,official,official,,10.892,1187,868,1.0,868,0,120,0.138,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9003,Famous Classical Music and Score Music Appreciation 經典古典音樂與電影配樂之賞析,"CHEN,HUI-CHUAN / 陳慧娟",Monday 5 (13:00 - 13:50) | Liberal Arts Building #1 101 Monday 6 (14:00 - 14:50) | Liberal Arts Building #1 101,50,451,0,451,match,official,official,official,,9.02,401,229,1.0,229,1,49,0.214,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9037,Data Collection and Report Writing 資料蒐集與報告寫作,"Chu, Pi-Ching / 朱碧靜",Thursday 9 (17:00 - 17:50) | Teaching & Research Building A201 Thursday A (18:00 - 18:50) | Teaching & Research Building A201,50,445,0,445,match,official,official,official,,8.9,395,185,1.0,185,0,50,0.27,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9039,"Gender, Technology and Society 性別、科技與社會","Chiang, Chen-Yin / 姜貞吟 Yann-Jy Yang / 楊燕枝",Thursday 5 (13:00 - 13:50) | Zhi-Xi Building 002 Thursday 6 (14:00 - 14:50) | Zhi-Xi Building 002 Thursday 7 (15:00 - 15:50) | Zhi-Xi Building 002,50,440,0,440,match,official,official,official,,8.8,390,187,1.0,187,0,50,0.267,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9021,The basic concepts of criminal law 刑法概論,"Wen, Tzu-Te / 溫祖德",Monday 7 (15:00 - 15:50) | Teaching & Research Building A201 Monday 8 (16:00 - 16:50) | Teaching & Research Building A201,50,424,0,424,match,official,official,official,,8.48,374,220,1.0,220,0,50,0.227,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9061,Infographic and Visual Communication 資訊圖表與視覺傳播,"Huang,Wendy / 黃文珊",Friday 5 (13:00 - 13:50) | General Education Building 122 Friday 6 (14:00 - 14:50) | General Education Building 122,50,407,0,407,match,official,official,official,,8.14,357,144,1.0,144,0,50,0.347,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9008,Exploring Hakka 體驗客家,"Chen, Yen-Jung / 陳彥蓉",Monday 3 (10:00 - 10:50) | Liberal Arts Building #1 106 Monday 4 (11:00 - 11:50) | Liberal Arts Building #1 106,50,392,0,392,match,official,official,official,,7.84,342,193,1.0,193,0,50,0.259,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9047,A Concise Introduction to Neurolinguistics 神經科學的語言筆記,"Hsu, Chun-Hsien / 徐峻賢",Thursday 3 (10:00 - 10:50) | Liberal Arts Building #1 113 Thursday 4 (11:00 - 11:50) | Liberal Arts Building #1 113,50,377,0,377,match,official,official,official,,7.54,327,148,1.0,148,0,50,0.338,1.0,1,analyzed,建議填在第 1 志願以內才有機會
9004,Introduction to Western Music and Musician 西方古典音樂欣賞,"Weng,Li-Mei / 翁立美",Tuesday 9 (17:00 - 17:50) | General Education Building 122 Tuesday A (18:00 - 18:50) | General Education Building 122,120,870,0,870,match,official,official,official,,7.25,750,461,1.0,461,1,119,0.258,1.0,1,analyzed,建議填在第 1 志願以內才有機會
