course_id,course_name,instructor,weekday,weekday_zh,period,time,room,maximum_number,number_of_assigned,cutoff_priority,cutoff_accept_rate,recommendation
9040,Theory and Skills of Creativity 創造力之理論與技巧,"Huang, Chin-Chun / 黃金俊",Thursday,星期四,9,17:00 - 17:50,General Education Building 122 Thursday A (18:00 - 18:50) | General Education Building 122,50,782,1.0,0.132,建議填在第 1 志願以內才有機會
9036,Mass Communication and Social Life 大眾傳播與生活,"Lu, Yu-Nu / 呂郁女",Thursday,星期四,7,15:00 - 15:50,General Education Building 214,120,1307,1.0,0.138,建議填在第 1 志願以內才有機會
9036,Mass Communication and Social Life 大眾傳播與生活,"Lu, Yu-Nu / 呂郁女",Thursday,星期四,8,16:00 - 16:50,General Education Building 214,120,1307,1.0,0.138,建議填在第 1 志願以內才有機會
9009,The psychology of memory in everyday life 日常生活中的記憶心理學,"Cheng, Shih-Kuen / 鄭仕坤",Thursday,星期四,3,10:00 - 10:50,Liberal Arts Building #1 101,50,668,1.0,0.152,建議填在第 1 志願以內才有機會
9009,The psychology of memory in everyday life 日常生活中的記憶心理學,"Cheng, Shih-Kuen / 鄭仕坤",Thursday,星期四,4,11:00 - 11:50,Liberal Arts Building #1 101,50,668,1.0,0.152,建議填在第 1 志願以內才有機會
9005,SQ(Spiritual Quotient)—Beyond IQ and EQ 精神能力(SQ)—IQ與EQ之外的生命資本,"Cheng, Chin-Fa / 程進發",Wednesday,星期三,1,08:00 - 08:50,Liberal Arts Building #1 113,50,571,1.0,0.178,建議填在第 1 志願以內才有機會
9005,SQ(Spiritual Quotient)—Beyond IQ and EQ 精神能力(SQ)—IQ與EQ之外的生命資本,"Cheng, Chin-Fa / 程進發",Wednesday,星期三,2,09:00 - 09:50,Liberal Arts Building #1 113,50,571,1.0,0.178,建議填在第 1 志願以內才有機會
9034,Life Education 生命教育,"Cheng, Chin-Fa / 程進發",Wednesday,星期三,3,10:00 - 10:50,Liberal Arts Building #1 113,50,573,1.0,0.197,建議填在第 1 志願以內才有機會
9034,Life Education 生命教育,"Cheng, Chin-Fa / 程進發",Wednesday,星期三,4,11:00 - 11:50,Liberal Arts Building #1 113,50,573,1.0,0.197,建議填在第 1 志願以內才有機會
9003,Famous Classical Music and Score Music Appreciation 經典古典音樂與電影配樂之賞析,"CHEN,HUI-CHUAN / 陳慧娟",Monday,星期一,5,13:00 - 13:50,Liberal Arts Building #1 101,50,451,1.0,0.214,建議填在第 1 志願以內才有機會
9003,Famous Classical Music and Score Music Appreciation 經典古典音樂與電影配樂之賞析,"CHEN,HUI-CHUAN / 陳慧娟",Monday,星期一,6,14:00 - 14:50,Liberal Arts Building #1 101,50,451,1.0,0.214,建議填在第 1 志願以內才有機會
9021,The basic concepts of criminal law 刑法概論,"Wen, Tzu-Te / 溫祖德",Monday,星期一,7,15:00 - 15:50,Teaching & Research Building A201,50,424,1.0,0.227,建議填在第 1 志願以內才有機會
9021,The basic concepts of criminal law 刑法概論,"Wen, Tzu-Te / 溫祖德",Monday,星期一,8,16:00 - 16:50,Teaching & Research Building A201,50,424,1.0,0.227,建議填在第 1 志願以內才有機會
9004,Introduction to Western Music and Musician 西方古典音樂欣賞,"Weng,Li-Mei / 翁立美",Tuesday,星期二,9,17:00 - 17:50,General Education Building 122 Tuesday A (18:00 - 18:50) | General Education Building 122,120,870,1.0,0.258,建議填在第 1 志願以內才有機會
9008,Exploring Hakka 體驗客家,"Chen, Yen-Jung / 陳彥蓉",Monday,星期一,3,10:00 - 10:50,Liberal Arts Building #1 106,50,392,1.0,0.259,建議填在第 1 志願以內才有機會
9008,Exploring Hakka 體驗客家,"Chen, Yen-Jung / 陳彥蓉",Monday,星期一,4,11:00 - 11:50,Liberal Arts Building #1 106,50,392,1.0,0.259,建議填在第 1 志願以內才有機會
9039,"Gender, Technology and Society 性別、科技與社會","Chiang, Chen-Yin / 姜貞吟 Yann-Jy Yang / 楊燕枝",Thursday,星期四,5,13:00 - 13:50,Zhi-Xi Building 002,50,440,1.0,0.267,建議填在第 1 志願以內才有機會
9039,"Gender, Technology and Society 性別、科技與社會","Chiang, Chen-Yin / 姜貞吟 Yann-Jy Yang / 楊燕枝",Thursday,星期四,6,14:00 - 14:50,Zhi-Xi Building 002,50,440,1.0,0.267,建議填在第 1 志願以內才有機會
9039,"Gender, Technology and Society 性別、科技與社會","Chiang, Chen-Yin / 姜貞吟 Yann-Jy Yang / 楊燕枝",Thursday,星期四,7,15:00 - 15:50,Zhi-Xi Building 002,50,440,1.0,0.267,建議填在第 1 志願以內才有機會
9037,Data Collection and Report Writing 資料蒐集與報告寫作,"Chu, Pi-Ching / 朱碧靜",Thursday,星期四,9,17:00 - 17:50,Teaching & Research Building A201 Thursday A (18:00 - 18:50) | Teaching & Research Building A201,50,445,1.0,0.27,建議填在第 1 志願以內才有機會
9002,Transition from Audience to Speaker: Story Analysis and Presentation 聽故事到說故事-故事分析與展演,"Kang, Pei / 康珮",Thursday,星期四,5,13:00 - 13:50,Liberal Arts Building #1 101,50,344,1.0,0.287,建議填在第 1 志願以內才有機會
9002,Transition from Audience to Speaker: Story Analysis and Presentation 聽故事到說故事-故事分析與展演,"Kang, Pei / 康珮",Thursday,星期四,6,14:00 - 14:50,Liberal Arts Building #1 101,50,344,1.0,0.287,建議填在第 1 志願以內才有機會
9001,Piano Literature Appreciation 鋼琴音樂作品欣賞,"Tseng, Yun-Hsin / 曾韻心",Tuesday,星期二,7,15:00 - 15:50,Liberal Arts Building #1 101,50,331,1.0,0.305,建議填在第 1 志願以內才有機會
9001,Piano Literature Appreciation 鋼琴音樂作品欣賞,"Tseng, Yun-Hsin / 曾韻心",Tuesday,星期二,8,16:00 - 16:50,Liberal Arts Building #1 101,50,331,1.0,0.305,建議填在第 1 志願以內才有機會
